bean_name,roaster_name,origin,process,official_notes,source_url,confidence
올드독 (Old Dog),프릳츠 커피 컴퍼니 도화점,블렌드(코스타리카40%/인도35%/과테말라25%),washed,다크초콜릿·흑당·로스티드 피칸,https://fritz.co.kr/product/%ED%94%84%EB%A6%B3%EC%B8%A0-old-dog-fritz-blend-coffee-bean/91/,높음
서울 시네마,프릳츠 커피 컴퍼니 도화점,블렌드,,밝은 산미와 깨끗한 단맛,https://fritz.co.kr/,중간
나쓰메 소세키,앤트러사이트 커피 합정,블렌드(에티오피아 아리차·콜롬비아 후일라·과테말라 와이칸),,"시트러스, 아몬드, 밀크초콜릿",https://anthracitecoffee.com/20,높음
공기와 꿈,앤트러사이트 커피 합정,블렌드(에티오피아 코케·케냐 키리냐가·과테말라 와이칸),,"복합 플로럴, 레드커런트, 자몽, 캐슈넛",https://anthracitecoffee.com/20,높음
파블로 네루다,앤트러사이트 커피 합정,블렌드(과테말라 와이칸·에티오피아 아리차),,"크랜베리, 스트로베리, 헤이즐넛, 브라운슈가",https://anthracitecoffee.com/20,높음
배드 블러드,커피리브레 연남,블렌드(에티오피아30%/코스타리카40%/니카라과30%),,과일 시럽의 단맛,https://coffeelibre.kr/,높음
노 서프라이즈,커피리브레 연남,블렌드(인도40%/온두라스40%/에티오피아20%),,농밀한 과일의 단맛,https://coffeelibre.kr/,높음
다크 리브레,커피리브레 연남,블렌드(인도50%/온두라스20%/콜롬비아30%),,다크초콜릿·견과의 고소함,https://coffeelibre.kr/,높음
블랙수트,빈브라더스 합정,블렌드(브라질60%/콜롬비아25%/에티오피아15%),,풍부한 초콜릿향,https://beanbrothers.co.kr/,중간
벨벳화이트,빈브라더스 합정,에티오피아 100%,,싱그러운 시트러스향,https://beanbrothers.co.kr/,중간
콜롬비아 알토스 델 파라이소,빈브라더스 합정,콜롬비아,,"과일잼, 야생꿀, 레드커런트",https://beanbrothers.co.kr/,중간
바이올렛 블렌드,180커피로스터스 합정,블렌드(에티오피아 내추럴+콜롬비아 워시드),,과일의 단맛과 산미,https://180coffee.com/,높음
콜롬비아 엘 레나세르 옴블리곤,180커피로스터스 합정,콜롬비아,,"다크체리, 오렌지필, 벨벳 같은 다크초콜릿 피니시",https://m.180coffee.com/product/list.html?cate_no=42,높음
콜롬비아 엘 실렌시오,리플렉트커피 로스팅 랩,콜롬비아,washed,망고 등 열대과일향,https://reflect-coffee.co.kr/,높음
콜롬비아 엘 로사리오,리플렉트커피 로스팅 랩,콜롬비아,co-fermentation,수박향,https://reflect-coffee.co.kr/,높음
콜롬비아 엘 엔칸토,리플렉트커피 로스팅 랩,콜롬비아,,딸기 등 베리향,https://reflect-coffee.co.kr/,높음
올데이 블렌드,테라로사 양재역점,블렌드(과테말라·브라질 베이스+르완다·케냐·에티오피아),,"진한 초콜릿, 농후한 단맛, 부드러운 목넘김",https://terarosa.com/,높음
버터리,벙커컴퍼니 압구정,블렌드(에티오피아 시다모/콜롬비아 마이크로랏/인도 카피 로얄),다크로스트,진하고 고소한 맛,https://beanprofiler.com/B_InReview/4725,높음
고티지,카멜커피 도산2호점,블렌드(원산지 비공개),,균형잡힌 풍미,https://cmlandco.kr/,중간
뉴텐던시,카멜커피 도산2호점,블렌드(원산지 비공개),,조화로운 과일향,https://cmlandco.kr/,중간
블랙 인 서울,챔프커피 을지로점,블렌드(원산지 비공개),,"너트, 카라멜, 초콜릿",https://champcoffee.kr/,중간
브라운 인 서울,챔프커피 을지로점,블렌드(원산지 비공개),,"허니, 카라멜, 딸기",https://champcoffee.kr/,중간
과테말라 엘 소코로 게이샤,로우키,과테말라,,확인 안됨 — 판매 목록 확인,https://lowkeycoffee.com/shop/list-cf10,중간
콜롬비아 콘사카,로우키,콜롬비아,,확인 안됨 — 판매 목록 확인,https://lowkeycoffee.com/shop/list-cf10,중간
에티오피아 아리차,로우키,에티오피아,,확인 안됨 — 판매 목록 확인,https://lowkeycoffee.com/shop/list-cf10,중간
Deep 블렌딩,딥블루레이크,블렌드(원산지 비공개),라이트로스팅,고소한 향미와 깔끔한 산미,https://dblcoffee.com/,낮음-중간
Blue 블렌딩,딥블루레이크,블렌드(원산지 비공개),라이트로스팅,복합적인 베리류 향미,https://dblcoffee.com/,낮음-중간
케냐 싱글오리진,트래버틴 한남,케냐,,레몬 껍질을 씹은 듯한 산미,https://the-edit.co.kr/80858,중간
